Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
LOCAL,Crowley,Allied Veterans Memorial Committee of Greater Ridgewood and Glendale,383853340,,2500,DYCD,,71-30 73rd Street,,Glendale,NY,11385,"To fund the annual Memorial Day Parade for the Ridgewood/Glendale area, including bands, reviewing stands, transportation, etc.",Maspeth Town Hall,237259702
AGING,Miller,"Alpha Phi Alpha Senior Citizens Center, Inc.",237436147,,10000,DFTA,,220-01 Linden Boulevard,,Cambria Heights,NY,11411,"Funding to support upgrade of  telephone system, as well as kitchen needs and program activities.",,
LOCAL,Cornegy,"Alpha Upsilon Uplift, Inc.",133923344,*,5500,DYCD,,708 Lexington Ave,,Brooklyn,NY,11221,To provide a Sports  Education Program during Winter Holiday Break & a Mentorship Program for Transient Youth. ,,
LOCAL,Levine,"Alvin Ailey Dance Foundation, Inc.",132584273,,5000,DCLA,,The Joan Weill Center for Dance,405 West 55th Street,New York,NY,10019-4402,Funds will be used to support Ailey Dance Kids (ADK).,,
LOCAL,Johnson,"Alvin Ailey Dance Foundation, Inc.",132584273,,3000,DCLA,,The Joan Weill Center for Dance,405 West 55th Street,New York,NY,10019-4402,"Funds to support Ailey Dance Kids (ADK) an arts education program that reaches over 7,000 New York City public school children annually through lecture demonstrations, dance classes, and percussion classes that allow students to explore their creative potential and develop important life-skills.",,
LOCAL,Rosenthal,"Alvin Ailey Dance Foundation, Inc.",132584273,,3500,DCLA,,The Joan Weill Center for Dance,405 West 55th Street,New York,NY,10019-4402,Funding to support teaching artist salaries for ADK and Ailey Camp and performance expenses for Ailey  outreach activities.,,
AGING,Garodnick,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,3500,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"Funding will support education, outreach and free enrollment in the Safe Return program, which provides support for persons with Alzheimer's disease .",,
AGING,Ignizio,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,5000,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"The program to be funded, MedicAlert®Alzheimer’s Association Safe Return® (MASR) in the 51st Council District.",,
LOCAL,Koo,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,5000,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"To provide for the enrollment of individuals in Council District 20 into MedicAlert®Alzheimer’s Association Safe Return® (MASR) Program, which is a nationwide wanderers program working at the local community level to return individuals with memory disorders safety back home. ",,
LOCAL,Koo,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,5000,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"Funds will be used to expand the Dementia Care Training partnership, which educates direct care provides throughout the five boroughs in the complex and specialized care needs of persons with dementia.  ",,
AGING,Rosenthal,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,3500,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017," Funding supports MedicAlert®Safe Return® (MASR) program which provides an ID bracelet, wallet cards and other identifiers for persons with dementia who wander, so they can be assisted quickly and returned home.",,
AGING,Levine,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,5000,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,To fund the MedicAlert Alzheimer's Association Safe Return (MASR) program for seniors in Council District 7. Funding will support and increase in MASR enrollment  in Council District 7.,,
LOCAL,Chin,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,5000,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,To increase MedicAlert®Safe Return® (MASR) enrollment in Council District 1,,
LOCAL,Speaker,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",133277408,,15000,DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"To fund MedicAlert Safe Return, a nationwide wanderers program working at the local community level.  The program finds people with memory disorders who wander or become lost and return them safely to their homes.",,
AGING,Matteo,"Alzheimer's Foundation of Staten Island, Inc.",133185040,,5000,DFTA,,1387 Bay Street,,Staten Island,NY,10305,"Funds will be used for support groups, seminars, equipment loans, Friendly Calls and Informational Guide to Caregiving",,
AGING,Treyger ,American Association of Holocaust Survivors of the Former Soviet Union,113395358,,2500,DFTA,,35 Seacoast Terrace,Apt 11C,Brooklyn,NY,11235,"To fund social events for elderly holocaust survivors including holidays, Russian cultural holidays, food packages and events celebrating the survival of association members. Services include, a support program for survivors allowing them to socialize and reconnect with people of similar backgrounds and reinforce their support network.",,
LOCAL,Greenfield,American Association of Holocaust Survivors of the Former Soviet Union,113395358,,3500,DFTA,,35 Seacoast Terrace,Apt 11C,Brooklyn,NY,11235,"Funds will be to used to pay costs of social events celebrating elderly holocaust survivors and a support program for survivors. These costs include paying for rental space, food packages, and event supplies.  ",,
LOCAL,Lancman,"American Bangali Hindu Foundation, Inc",260741506,*,3500,DYCD,,10414 LIVERPOOL STREET,,JAMAICA,NY,11435,Funding to provide weekend and summer programming and meals for children 5-16 years old.,,
LOCAL,CD28,"American Bangali Hindu Foundation, Inc",260741506,,8500,DYCD,,10414 LIVERPOOL STREET,,JAMAICA,NY,11435,To support programmatic and operating costs for cultural and language development youth programs,,
LOCAL,Treyger ,American Brotherhood of Russian Disabled,113314347,,5000,DFTA,,3048 Brighton 1st Lwr Level,,Brooklyn,NY,11235,Funds will be used to provide computer training classes for senior and disabled residents of the community. These classes will focus on general computer skills initially and then branch into specialized software and other applications,,
LOCAL,Koo,"American Cancer Society, Inc.",131788491,,5000,DOHMH,,132 West 32nd Street,,New York,NY,10001,"The funds will continue the successful Colon Cancer Screening and Patient Navigation Initiative to provide free colon screening and treatment if needed for those in District 20, and will also be used towards the ACS Primary Care Provider Outreach Pilot Project.",,
LOCAL,Williams,"American Cancer Society, Inc.",131788491,,3500,DOHMH,,132 West 32nd Street,,New York,NY,10001,Funding for free colon screenings and treatment ,,
LOCAL,Matteo,"American Hellenic Education Progressive Association (AHEPA Chapter #349 Fund, Inc.)",200871581,,1000,DYCD,,1641 Richmond Ave,,Staten Island,NY,10314,Funds will be used to support field trips to exhibits featuring Hellenic Culture and Art,,
LOCAL,Koslowitz,American Legion - Continental Post 1424,116104901,,5000,DFTA,,107-15 Meropolitan Avenue,,Forest Hills,NY,11375-6520,Funds will be used to help cover cost for the Memorial Day Parade including transportation of veterans to parade site; for payment of bands and groups participating in parade; for payment of permits; wreaths to be placed at Veterans Memorial site.,,
LOCAL,Dickens,American Legion Colonel Charles Young Post #398,136272129,*,4000,DYCD,,248 West 132 Street,,New York,,10027,"To provide youth recreational, sports, cultural and leadership activities for children of veterans and those within the served community and to provide a scholarship for a college bound student each year. ",,
YOUTH,Weprin,"American Martyrs Roman Catholic Church, Inc.",111816736,*,7500,DYCD,,79-43 Bell Blvd,,Oakland Gardens,NY,11364,"To support facility rental fees, athletic equipment and uniforms for youth sports programs such as basketball, baseball, volleyball, soccer, and swimming. ",,
LOCAL,Rosenthal,American Museum of Natural History,136162659,,3500,DCLA,,200 Central Park West,,NYC,NY,10024,"Funding provides students and teachers with needed resources such as materials  equipment for the classroom; provide teachers, administrators,  parent coordinators with high quality professional development; and engage parents/guardians of UA students in their child’s science learning.",,
LOCAL,Rosenthal,American Museum of Natural History,136162659,,3500,DCLA,,200 Central Park West,,NYC,NY,10024,Funding to support continuation of a Museum paid internship program that will help develop and train high school  college students,,
LOCAL,Rosenthal,American Museum of Natural History,136162659,,3500,DCLA,,200 Central Park West,,NYC,NY,10024,Funding to support Family Science Programs that would serve NYCHA developments ,,
LOCAL,Speaker,American Museum of Natural History,136162659,,100000,DCLA,,200 Central Park West,,NYC,NY,10024,"To fund a Family Science Program that would serve NYCHA developments throughout the City serving nearly 1,000 children and their parent/guardians.",,
LOCAL,Cumbo,"American Opera Projects, Inc.",133081486,,2750,DCLA,,138 South Oxford Street,,Brooklyn,NY,11217,"Funds to engage traditionally underserved communities in Brooklyn by bringing music and arts programming to public housing, parks, libraries and community centers. ",,
LOCAL,Dickens,"American Performing Arts Collaborative, Inc.",133877290,*,3500,DYCD,,6 Hancock Place,,New York,NY,10027-4803,To utilize our technological resources and capabilities in conjunction with our creative and artistic resources to best serve and benefit our community and expand on The Respect Project as well as our Cultural Performing Arts series. We are proposing a two part program using the creation of our cultural tourism initiative: “VIRTUALLY YOUR’S HARLEM” as a vehicle to expose youth to the world of work in the context of theater and entertainment technology as well as hands on hospitality training and experience This initiative is designed to provide for the integration of employability competencies into the instructional process in a theater environment.,,
LOCAL,Deutsch,American-Italian Cancer Foundation,133035711,,5000,DOHMH,,112 East 71 Street,Suite 2B,New York,NY,10021,To provide for a  No-cost Breast Cancer Screening Program,,
LOCAL,Garodnick,American-Italian Cancer Foundation,133035711,,3500,DOHMH,,112 East 71 Street,Suite 2B,New York,NY,10021,Funding will support free mammograms and clinical breast exams for economically disadvantaged women.,,
LOCAL,Kallos,American-Italian Cancer Foundation,133035711,,10000,DOHMH,,112 East 71 Street,Suite 2B,New York,NY,10021,"To support the No-cost Breast Cancer Screening Program, providing New York City women with breast cancer screening and education services on our Mobile Care Clinic. Funding will support the cost associated with the operation of our Mobile Care Clinic including mobile unit staff salaries, and cost of mammograms, and clinical breast exams not covered by insurance or the New York State Cancer Services Program. Funding will also support outreach and education activities and staff which ensure that medically under-served women in New York City have the information they need to access medically appropriate breast cancer screening services.",,
LOCAL,Matteo,American-Italian Cancer Foundation,133035711,,3000,DOHMH,,112 East 71 Street,Suite 2B,New York,NY,10021,"Funding will support the cost associated with the operation of Mobile Care Clinic including mobile unit staff salaries, and cost of mammograms, and clinical breast exams not covered by insurance or the New York State Cancer Services Program.",,
