Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Local,CC,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,"$15,000 ",DOHMH,,41 East 11th Street 5th Floor,,New York,NY,10003,"To fund the COACH program—Comprehensive Outreach And Connection to Healthcare—Social Workers and Peer Educators will provide health education, peer coaching, accompaniment to appointments, meals, and routine communication with medical staff to ensure that patients living with HIV, hep. C, diabetes and other chronic illnesses receive consistent, high quality care. Peer Health Coaches provide the individualized support necessary to sustaining patients in care.",,
HIV/AIDS Communities of Color,,"AIDS Service Center of Lower Manhattan, Inc.",133562071,,"$28,800",DOHMH,,"41 East 11th Street, 5th Floor",,New York,NY,10003,,,
Local,Vallone,"Aktina Productions, Inc.",113220961,,"$7,000",DOITT,,23-50 27th Street,,Astoria,NY,11105-3110,To support community-oriented radio and television programs AKTINA FM and AKTINA TV. ,,
Children under Five Initiative,,Albert Einstein College of Medicine of Yeshiva University,131624225,,"$400,000",DOHMH,,1410 Pelham Parkway South,,Bronx,NY,10461,,,
MHy Contracted Svcs Partial PEG Rest'n - DD Clinics,,Albert Einsten College of Medicine/Yeshiva Univerity CERC Clinic,131624225,,"$300,000",DOHMH,,,,Bronx,NY,,,,
MHy Contracted Svcs Partial PEG Rest'n - Chemical Dependency/ADUPCT,,"Alcoholism Council/ Fellowship Center of New York, Inc., The",237086871,,$0,DOHMH,,,,Manhattan,NY,,,,
HIV/AIDS Communities of Color,,Ali Forney Center,300104507,,"$28,800",DOHMH,,"527 West 22nd Street, 1st Floor",,New York,NY,10011,,,
Runaway and Homeless Youth PEG Restoration,,Ali Forney Center,300104507,,"$206,262",DYCD,,"527 West 22nd Street, 1st Floor",,New York,NY,10011,Crisis Shelter Beds,,
Runaway and Homeless Youth PEG Restoration,,Ali Forney Center,300104507,,"$620,620",DYCD,,"527 West 22nd Street, 1st Floor",,New York,NY,10011,Crisis Shelter Beds,,
Runaway and Homeless Youth PEG Restoration,,Ali Forney Center,300104507,,"$287,376",DYCD,,"527 West 22nd Street, 1st Floor",,New York,NY,10011,Brooklyn Drop-In Center and Auxiliary Services,,
Runaway and Homeless Youth PEG Restoration,,Ali Forney Center,300104507,,"$85,031",DYCD,,"528 West 22nd Street, 1st Floor",,New York,NY,10455,Drop-In Center Services,,
Runaway and Homeless Youth PEG Restoration,,Ali Forney Center,300104507,,"$504,000",DYCD,,"527 West 22nd Street, 1st Floor",,New York,NY,10011,Transitional Independent Living Beds ,,
Youth,Ferreras,Alianza Ecuatoriana Internacional,263136947,,"$5,000",DYCD,,219-44 94 ave     11428,,Queens Village,NY,11428,To provide Andean dance and music classes for the children and youth.,,
Local,Mendez,"All Out Arts, Inc.",061284862,,"$3,500",DCLA,,545 8th Avenue,Room 401,New York,NY,10018,"Funding for the 11th annual Festival of LGBTQ Arts Culture, featuring a variety of full-length plays, shorter plays, spoken-word programs, art shows, dance, lectures and music programs.",,
HIV/AIDS Faith Based Initiative,,All Saints Episcopal Church,111735978,,"$6,400",DOHMH,,,,,,,,,
Aging,Comrie,"Allen Community Senior Citizens Center, Inc.",112326244,,"$11,000",DFTA,,166-01 Linden Boulevard,,Jamaica,NY,11434-1243,"To provide comprehensive services that meet the nutritional, recreational, educational, informational and other needs of program participants.",,
Local,Foster,"Allen Kinard Impact Foundation, Inc., The",452777611,,"$5,000",DOE,,445 Chelsea Rd,500 E 171 Street 12B Bronx New york 10457,oceanside,NY,11572,"To promote education and awareness in underdeveloped and underprivileged communities on the topic of bullying and female empowerment. Funds are to cover costs associated with in school events with music entertainment, giveaways, and celebrity hosts.",,
Local,Vacca,Allerton Avenue Homeowners and Tenants Association,133101238,,"$5,000",DFTA,,1415 Allerton Avenue,,Bronx,NY,10469-5641,"To provide funds for services at the senior center including  educational, recreational information, and transportation services to seniors.",,
Local,Rivera,Allerton Pelham Parkway Mobile Community Patrol,311677845,*,"$3,500",DYCD,,2523 Olinville Avenue,,Bronx,NY,10467,"Funds will support the mobile community patrol, the community's night out against crime and the 49th Precinct Community Council's annual fellowship breakfast",Neighborhood Initiatives Development Corporation,133110811
Local,Gennaro,"Alley Pond Environmental Center, Inc.",112405466,,"$10,000",DCLA,,228-06 Northern Boulevard,,Douglaston,NY,11362-1068,Funds will support environmental programing at the Center to allow it to continue to provide its educational programming seven days a week at least eight hours a day.,,
Local,CD19,"Alley Pond Environmental Center, Inc.",112405466,,"$20,000",DCLA,,228-06 Northern Boulevard,,Douglaston,NY,11362-1068,"To operate the Alley Pond Enviornmental Center and provide environmental education programs, including at class visitation programs. ",,
Local,Comrie,"Alley Pond Environmental Center, Inc.",112405466,,"$5,000",DCLA,,228-06 Northern Boulevard,,Douglaston,NY,11362-1068,To provide environmental education programs for children ages 18 months through adults at Alley Pond.,,
Youth,Weprin,"Alley Pond Environmental Center, Inc.",112405466,,"$25,000",DYCD,,228-06 Northern Boulevard,,Douglaston,NY,11362-1068,To conduct environmental education programs for children at reasonable rates and for children in low income areas at class visitation programs. ,,
Local,Recchia,"Alliance for Coney Island, Inc.",460802042,,"$20,000",DYCD,,1701 Surf Avenue,,Brooklyn,NY,11224,,,
Local,Quinn,"Alliance of Resident Theatres/New York, Inc.",132768583,,"$10,000",DCLA,,520 Eighth Avenue Suite 319,,New York,,10018,"To provide support and service New York City’s nonprofit theatres, through funding to pay costs related to the SPACES@520 facility.",,
Local,Crowley,Allied Veterans Memorial Committee of Greater Ridgewood and Glendale,383853340,,"$2,500",DYCD,,71-30 73rd Street,,Glendale,,11385,To support an annual Memorial Day Parade and services for veterans.,"Maspeth Town Hall, Inc.",237259702
Local,Comrie,"Alpha Phi Alpha Senior Citizens Center, Inc.",237436147,,"$5,000",DFTA,,220-01 Linden Boulevard,,Cambria Heights,NY,11411,To provide activities and meet the needs of daily attendees consistent with DFTA guidelines for senior services.,,
Local,Quinn,"Alpha Workshops, Inc.",133839867,,"$3,500",DCLA,,245 West 29th Street,Floor 14,New York,,10001,To provide free training to low-income HIV-positive adults on Decorative Arts Techniques.,,
Local,Brewer,Alvin Ailey Dance Foundation,132584273,,"$3,000",DCLA,,The Joan Weill Center for Dance,405 West 55th Street,New York,NY,10019-4402,To allow underserved youth ages 11-14 to attend the dance program based in Washington Heights.  Funds will support teaching artist salaries and performance expenses.,,
Youth,Jackson,Alvin Ailey Dance Foundation,132584273,,"$10,000",DYCD,,The Joan Weill Center for Dance,405 West 55th Street,New York,NY,10019-4402,"Funds will support AileyCamp NY, a youth program offering dance, creative writing and personal development and offering youth from under-served communities the opporunity to see an Ailey performance.",,
Boro,Manhattan Delegation,"Alvin Ailey Dance Foundation, Inc",132584273,,"$3,500",DCLA,,The Joan Weill Center for Dance,405 West 55th Street,New York,NY,10019-4402,"To support the AileyCamp's dance training program which includes classes in creative writing instruction, and personal development and communication. Funds will include support for teaching artists and performance expenses.",,
Local,Brewer,"Alzheimer's Association, New York City Chapter",133277408,,"$3,500",DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"To support MedicAlert ®  Safe Return®, which provides an ID bracelet, wallet cards and other identifiers to quickly identify and return home persons with dementia who are found wandering.  ",,
Aging,Lappin,"Alzheimer's Association, New York City Chapter",133277408,,"$3,500",DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"To support the MedicAlert ®  Safe Return® program, providing an ID bracelet, wallet cards and other identifiers for persons with dementia so they can be quickly assisted and returned home in the event that they wander.",,
Aging,Garodnick,"Alzheimer's Association, New York City Chapter",133277408,,"$3,500",DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"Funding will support education, outreach and free enrollment in the Safe Return program, which provides support for persons with Alzheimer's disease .",,
Local,Arroyo,"Alzheimer's Association, New York City Chapter",133277408,,"$4,625",DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,"To support MedicAlertSafe Return, a program to help find people with memory disorders who wander or become lost.  Funding will provide the program free of charge to the community.  ",,
Local,CC,"Alzheimer's Association, New York City Chapter",133277408,,"$15,000 ",DFTA,,360 Lexington Avenue,4th Floor,New York,NY,10017,To fund MedicAlert ®  Safe Return® a nationwide wanderers program working at the local community level.  The program finds people with memory disorders who wander or become lost and return them safely to their homes.,,
Local,Quinn,Amateur Athletic Union Of The United States Inc.,274804998,,"$3,500",DYCD,,27 Union Square West,Suite 307,New York,,10003,"To support youth athletic programs which include various skills training sessions as well as tournament play for advanced players.  Funds will be used for uniforms, referees, and coaching staff.",,
Local,Garodnick,American Ballroom Theater Company Inc.,222542960,,"$3,500",DCLA,,25 West 31st Street,4th Floor,New York City,NY,10001,Funding will support ballroom dance lessons at a public school in District 4. ,,
Local,Wills,"American Bangali Hindu Foundation, Inc",260741506,,"$3,500",DYCD,,10414 LIVERPOOL STREET,,JAMAICA,NY,11435,To support programmitic cost for Language Training. ,,
Local,Nelson,American Brotherhood of Russian Disabled,113314347,,"$3,500",DFTA,,3048 Brighton 1st Lwr Level,,Brooklyn,NY,11235,"To provide computer training classes, focusing on career training and retraining, for senior and disabled residents of the community. ",,
Local,Koo,American Cancer Society,131788491,,"$5,000",DYCD,,41-60 Main Street,Suite 307,Flushing,NY,11355,"The program is intended to provide services to newly diagnosed cancer patients.  This include offer free wigs, provide language appropriate cancer educational materials, consultation and referring sources to community services, hosting cancer education workshops, and special activities that promoting quality of life and reducing social stigmatization of cancer in the community.  A bilingual Cancer Resources Specialist will be hired to facilitate the program.",,
Local,Oddo,"American Cancer Society, Inc., The",131788491,,"$15,000",DFTA,,173 Old Town Road,,Staten Island,NY,10305,"The funding will be applied to our Patient and Family Services Program, which will include the cost for wigs, to be distributed to cancer patients who have lost their hair as a result of treatment; a small portion will go to our Look Good Feel Better Program; and the printing and postage of patient education materials, to be distributed throughout the community and health systems.",,
